0.010418894004764475
0.015628341007150093
-110100-110:0,2 1.492707969030624
0110-1010-1:0,0 10.000000000000004
0101-10-110:1,2 5.056928330750697
01-111-10-11:0,0 5.000000000000003
10-101010-1:0,1 -6.841669019928613
1000010-10:2,0 2.834894020439749
1000010-10:2,2 3.6459165045514483
11-1-10110-1:2,1 5.000000000000001
11-10-11000:1,0 5.060494954411847
011-1-1101-1:2,0 -10.000000000000004
-11-1011000:2,0 -9.465242874016216
-11-1011000:2,2 -9.680356502159883
-11-1011000:2,1 -7.352637194438519
010101-1-10:0,0 1.4087890627553858
0001-1110-1:2,1 -5.7197483188504625
-11-101-1101:1,0 -9.999779507026627
-1-10110010:0,2 10.000000000000002
11-1-1010-11:1,1 4.999999999976335
0101-11-100:0,2 9.999999999999998
0101-11-100:0,0 9.499999999860785
-10-11101-11:0,1 10.0
1-11-101000:1,1 3.361753972250795
-1111-101-10:2,2 9.999999999999996
010101-1-10:0,2 2.2940350011412987
-10-1010110:2,2 -6.611978016122247
1100-1010-1:2,1 -9.75223173746764
01-110010-1:2,1 0.24934247406555743
00101-101-1:2,0 -8.350996960104677
001-10011-1:0,0 -1.506372904293536
1-100-10101:2,1 10.000000000000002
-100001-111:1,0 10.0
-100001-111:1,1 -1.3746263929009817
00110000-1:0,1 3.710863560612394
00110000-1:0,0 3.813492077091606
001-10011-1:0,1 -8.362797012081721
00-11-11010:2,2 9.499999999999972
001-11001-1:2,0 -7.839472561683058
00-11-11010:2,0 9.999999999999996
01-1-11110-1:2,1 5.000000000000002
-110100-101:0,2 1.4776360688848353
0-11010000:0,0 -8.995772102771678
001011-10-1:0,1 -7.983663868061345
001011-10-1:0,0 -7.078753757865272
-10-10111-11:1,0 4.999999985822413
00011-10-11:0,2 -2.7499682519406714
00011-10-11:0,1 -7.152655935650842
00011-10-11:0,0 4.749999999999997
01001-1000:1,0 -9.749397417496558
01010-11-10:2,2 1.9625630922635648
01-10010-11:2,0 3.751784785050732
1100-110-10:0,2 4.751165941286804
1-100-10110:2,2 -9.708048065138481
01-11-1110-1:2,1 -10.000000000000002
1100-100-11:1,0 -9.638545953760856
1100-100-11:1,2 -9.746281173918186
0-1-1-111110:0,0 9.999999999999996
00110-101-1:2,0 1.1803388634658174
100101-10-1:2,1 9.999999999999996
110-10-1-111:0,2 -9.560195348889602
010011-1-10:0,2 -9.067069538645148
0-10-101011:1,1 -8.364969443814077
010011-1-10:0,0 -8.28855446827408
-110001-110:1,1 9.499999995735074
-110001-110:1,0 10.0
11000-110-1:2,1 0.6935210629120776
1-1-1-110110:2,2 4.999999999999999
0-10-111010:0,0 9.499999999999998
0-10-111010:0,2 6.062837237069655
-10010-1011:1,1 -3.1037756754136483
010-1101-10:2,2 -0.19246645610708812
-1-10110001:0,2 10.0
0-1001011-1:0,2 9.5
1001000-10:1,2 -2.959905531864012
1001000-10:1,1 1.1422964557409077
-1101-11-110:0,2 10.0
0-1001011-1:0,0 -7.195415029541756
0-11000001:1,0 -9.528197311934022
01010-1-110:1,1 4.853792060451805
0-11000001:1,1 -8.98753284261657
0-11000001:1,2 0.09221320982679168
1-10-100101:2,1 -7.030765817317698
-1110-11-110:1,0 9.999999999977414
00-11-11001:2,0 9.999999999999998
01100-110-1:0,0 -4.088411075591618
00-11-11001:2,1 9.5
1-1001-1010:0,2 0.2031188778222206
110-11-11-10:0,2 -9.99997837753335
1010-1-111-1:0,1 -9.999999980879032
11011-1-10-1:0,2 9.999997300147196
1-10-111000:2,2 4.749999999999999
1-10-111000:2,1 -6.102336709500764
1-1110-101-1:2,0 4.99999999875201
-110001-101:1,0 9.999999999999998
1-10-111000:2,0 0.2535233304781137
-110001-101:1,1 -3.1940327104196298
0010011-1-1:0,1 -6.038599496299891
10011-10-10:2,0 -9.078102576060974
000011-100:0,1 -9.80990112411418
10011-10-10:2,2 -9.180718315896675
000011-100:0,0 -9.301078348550167
110-1-10010:1,2 10.000000000000002
0010011-1-1:0,0 -4.840822540517544
0-1110010-1:2,1 -2.616203326394057
-101000-111:0,1 -4.347667335819102
0011-1001-1:2,0 6.220922798012502
00-101-1011:1,0 -9.999990628248877
1-1-1101000:1,1 -6.226385152609782
0101-1-1010:2,0 6.27225068758936
0101-1-1010:2,2 9.499999653104714
1010000-10:1,1 -8.949584859801472
00-10111-10:1,0 4.75
-11010-1010:1,1 5.063040894747898
1010000-10:1,2 -8.744301331610812
100100-11-1:0,2 9.500000000000002
1010000-10:1,0 -9.272063891934
100100-11-1:0,1 4.749894484213455
110-101-11-1:0,2 -9.99999989166514
10-1110-100:1,2 -8.650390956453272
11000-10-11:1,0 -6.875391211296231
11000-10-11:1,1 -6.531820684082894
101-10-1001:0,1 7.01180509097076
0110-10-101:2,1 -9.773099078733361
000010-110:1,2 -9.481670679206053
000010-110:1,0 -9.069416474484498
0-100-11011:1,0 -9.898105826394323
-1-10011100:2,2 -3.0688887805358496
-100-101110:0,1 0.11094086506982759
-1-10011100:2,1 -3.1488120585840216
-100-101110:0,2 -5.02579149631925
110-1-10-111:0,2 9.999999999999998
0100-11-110:2,2 9.499999999999996
101-1001-10:1,2 -9.780402466246162
101-1001-10:1,1 -9.376366419613005
11-1-100100:1,1 6.42403166239259
-1-10100011:1,1 -4.948019095062012
11-1-100100:1,2 9.500000000000004
01001-11-10:2,2 -3.037299367220599
-11000-1011:2,0 -6.914228899623071
-1-10100011:1,2 -0.8287146464641817
1-1011-101-1:0,2 10.000000000000002
0-10-111001:0,0 -9.731732104076391
0-10-111001:0,2 -9.6990335009376
1-10010-110:0,2 -9.556700502774653
-10100-1011:1,1 0.8338801694552664
00-1101000:2,2 -7.93598278645917
-10100-1011:1,0 -0.009075127060518051
00101-1000:0,0 -9.07607313793035
00101-1000:0,1 -9.037406421937838
01010-1-101:1,1 4.770844880190368
1-1-10111-10:1,0 -9.999996755886064
1-10-110100:1,2 -9.783195071678703
11-10-10100:1,0 4.814538131899454
-11011-11-10:0,2 5.000000000000002
11-10-10100:1,2 -9.382561118074053
100011-10-1:2,1 10.000000000000002
00-1011-101:0,0 -9.263786832285803
00-1011-101:0,1 -9.641194046709957
00-1101000:2,1 -3.6121964944075127
00-1101000:2,0 -1.3819252420557755
0101-10-101:1,2 5.217093523208586
00-11-10101:1,2 -9.821164492455432
-11-110110-1:1,1 10.000000000000004
100-100-111:0,2 -2.7646891219215926
100-100-111:0,1 -5.197480997936168
101000-11-1:1,1 -4.880688849465382
101000-11-1:1,0 -1.551783336084339
10-101001-1:0,1 4.761964514257288
10-100-1101:1,1 -5.86431677897915
10-100-1101:1,0 -7.829656824907813
110001-10-1:0,2 9.499999999999984
011-10100-1:2,0 2.6194943462926252
-101000100:2,1 -9.905023933270009
011-10100-1:2,1 -2.1400322345309584
0-1-1-111101:0,0 10.000000000000002
-101000100:2,2 -7.206842994613854
0-110-1111-1:0,0 10.0
101000-11-1:1,2 -2.455629247897957
1001010-1-1:2,0 9.999999995623478
11-1-101000:1,1 4.855769912486584
-110101-11-1:0,2 -9.991916301016632
00011-101-1:0,2 10.000000000000002
00-111-1010:0,0 -4.864341496381817
00011-101-1:0,1 6.0345203453633
00-111-1010:0,1 9.499999999851742
1-111-1001-1:2,0 5.0
00011-101-1:0,0 -9.300546442775266
01100-1-101:2,1 -0.018131388912007607
0-111010-10:0,0 -5.129181327277336
10-1011-100:1,0 -9.716155504860929
000100000:1,1 4.3941176226133605
000100000:1,2 4.334418664196563
-1001011-10:1,1 9.499999999999998
00-1100100:1,1 -1.9980679555661065
0-111000-11:1,1 9.99999986867242
00-1100100:1,2 -5.701244172490632
-10111-101-1:0,1 -9.999999999909196
0-111000-11:1,2 7.863646742593878
110-110-100:2,1 -8.369658887626152
110-110-100:2,2 -6.194233216206317
001-1100-11:1,2 -6.800768085655648
00110-10-11:2,0 2.4438412153984506
11-10-1-1110:2,2 10.0
01001-1-101:0,2 -8.079972396856899
10-100-1101:0,1 -9.936988538428198
01-100101-1:2,0 -3.4431546838435327
01001-1-101:0,0 -3.8250731404252254
0010110-1-1:0,1 -5.7811257962306355
-11010-1001:0,2 1.0727727200027593
1-100-11010:2,2 4.749999999999998
0010110-1-1:0,0 -8.429271810129523
1-100-11010:2,0 4.815778494581694
1001010-1-1:1,1 4.188398909936808
00-111-1001:0,0 4.813107007948396
101-11000-1:0,1 -9.698974644043142
10-10-10011:0,1 -1.14144152637793
00-111-1001:0,1 -9.61221843767857
1010-1100-1:1,0 -9.385845640802943
0-10010001:1,0 -9.020342484365491
0-10010001:1,2 -9.222185363833736
0-1-1101-111:1,1 10.0
011-110-100:0,0 10.000000000000007
01110-1-100:1,1 -5.392978393543678
10-1000001:2,0 -8.740157469570702
10-1000001:2,1 -9.436361050154632
00-1100100:2,1 -7.544464934211259
00-1100100:2,2 -6.666881006356711
0-1110-111-1:0,0 -9.996844456486405
-110011-1-11:0,2 -9.999999999309244
1101-100-10:0,2 -8.400697699432914
10-110100-1:2,1 -6.072484442019252
10-110100-1:2,0 -4.793408682117715
0001-10100:2,1 -9.153170714541277
101-10-1010:0,1 6.65798264557212
0001-10100:2,2 -9.302481084301684
00001-1010:2,2 -8.64077121677366
01010-1-101:0,0 4.689381200343743
00001-1010:2,0 -8.968317492209197
01010-1-101:0,2 1.6020709874605452
1-10-110100:2,1 -9.78282288777594
1-10-110100:2,2 -9.492361420984684
01100000-1:2,1 -6.472480783777141
01100000-1:2,0 -7.333314108845867
01-1-101010:0,0 -5.393247596707656
0110-11-100:1,0 -9.355217220829298
00-1001100:0,0 4.593348603049341
00-1001100:0,1 3.487241195876645
00101-10-11:1,0 -9.82253293684772
010010-100:0,0 -9.354441600142856
00-1-110101:2,1 -9.497543175959303
-1111-10-110:1,2 5.0
00-11-10101:2,1 -9.952743097369298
1-1101-101-1:1,0 -9.999999032127171
00-11-10110:1,2 -9.99744607620539
-11110-11-10:1,1 4.999999979239163
01-1-10111-1:0,0 -9.997528470709117
01101-1-100:0,0 -9.874191355707323
-1-11001100:1,1 -2.5450167892382334
-1-11001100:1,0 -8.77217855782816
0001-1101-1:2,0 9.499999999999996
-11100-1001:1,1 7.002929191277879
-11100-1001:1,0 9.499999999999872
01-101-1100:1,0 -6.434421701750993
00-101-1011:2,0 -8.69699176731213
010010-100:0,2 -9.734892330082497
110-1-101-11:1,2 9.999999999999996
11000-101-1:1,0 -8.017909136151365
11000-101-1:1,1 -3.2866830749241136
-10-111011-1:1,2 9.999999715235852
10-100-1110:0,1 5.199653776287291
1-10-100110:2,2 4.75
-110-101100:0,2 2.1467534668777346
101-10-1001:1,1 9.999999999999998
0-1100110-1:2,1 -2.5554740584754185
1101-11-10-1:0,2 9.999999999999995
000010-101:1,0 -9.464309998248787
-100000011:0,2 -3.004386468724036
-110101-1-11:0,2 -9.999998197585342
0101-101-10:2,2 -2.180423658035343
01-110001-1:1,1 9.499999999999943
10-1010000:1,2 -8.695020697894037
100-10-1011:1,1 9.999999706583168
-1101-10-111:0,2 9.999999999999996
01-110001-1:1,2 10.0
1011-1000-1:0,1 -9.276398409777572
00-1010-111:0,0 -9.8126363187417
11-1-10101-1:2,0 -9.855447032577866
